# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.to.snapshot.ms,1777351458753000000,1777351487741000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777351458753000000,1777351487741000000,2609
workspaceModel.cachedValue.clear.count,1777351458753000000,1777351487741000000,0
workspaceModel.updates.precise.ms,1777351458753000000,1777351487741000000,9
workspaceModel.cachedValueWithParameters.calculated.count,1777351458753000000,1777351487741000000,6
workspaceModel.updates.count,1777351458753000000,1777351487741000000,5
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777351458753000000,1777351487741000000,660
workspaceModel.loading.from.cache.ms,1777351458753000000,1777351487741000000,100
workspaceModel.init.bridges.ms,1777351458753000000,1777351487741000000,4
workspaceModel.cachedValue.total.get.count,1777351458753000000,1777351487741000000,1843
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777351458753000000,1777351487741000000,0
workspaceModel.cachedValue.calculated.count,1777351458753000000,1777351487741000000,58
workspaceModel.on.before.changed.ms,1777351458753000000,1777351487741000000,26
workspaceModel.full.replace.project.model.ms,1777351458753000000,1777351487741000000,20
workspaceModel.update.unloaded.entities.ms,1777351458753000000,1777351487741000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777351458753000000,1777351487741000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777351458753000000,1777351487741000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777351458753000000,1777351487741000000,50
workspaceModel.replace.project.model.ms,1777351458753000000,1777351487741000000,0
workspaceModel.collect.changes.ms,1777351458753000000,1777351487741000000,0
JVM.newThreadsCount,1777351458753000000,1777351487741000000,167
MEM.ramPlusSwapMinusFileMappingsBytes,1777351458753000000,1777351487741000000,1816010752
JVM.totalTimeAtSafepointsMs,1777351458753000000,1777351487741000000,266
JVM.threadCount,1777351458753000000,1777351487741000000,137
JVM.usedHeapBytes,1777351458753000000,1777351487741000000,495169312
JVM.totalSafepointCount,1777351458753000000,1777351487741000000,137
JVM.totalCpuTimeMs,1777351458753000000,1777351487741000000,44310
JVM.totalTimeToSafepointsMs,1777351458753000000,1777351487741000000,22
MEM.fileMappingsRamBytes,1777351458753000000,1777351487741000000,780398592
JVM.maxHeapBytes,1777351458753000000,1777351487741000000,2147483648
MEM.ramMinusFileMappingsBytes,1777351458753000000,1777351487741000000,1816010752
JVM.GC.collectionTimesMs,1777351458753000000,1777351487741000000,261
JVM.usedNativeBytes,1777351458753000000,1777351487741000000,487396920
JVM.totalBytesAllocated,1777351458753000000,1777351487741000000,3799308152
JVM.maxThreadCount,1777351458753000000,1777351487741000000,150
JVM.GC.collections,1777351458753000000,1777351487741000000,56
OS.loadAverage,1777351458753000000,1777351487741000000,2.517578125
JVM.totalDirectByteBuffersBytes,1777351458753000000,1777351487741000000,42016769
JVM.committedHeapBytes,1777351458753000000,1777351487741000000,751828992
MEM.ramBytes,1777351458753000000,1777351487741000000,2596483072
NonBlockingReadAction.failedExecutionsCount,1777351458753000000,1777351487741000000,0
AWTEventQueue.dispatchTimeTotalNS,1777351458753000000,1777351487741000000,4893817941
NonBlockingReadAction.finalizedExecutionTimeUs,1777351458753000000,1777351487741000000,267114
NonBlockingReadAction.finalizedExecutionsCount,1777351458753000000,1777351487741000000,277
NonBlockingReadAction.failedExecutionTimeUs,1777351458753000000,1777351487741000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777351458753000000,1777351487741000000,1
jps.facet.change.listener.init.bridge.ms,1777351458753000000,1777351487741000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777351458753000000,1777351487741000000,0
jps.global.get.libraries.ms,1777351458753000000,1777351487741000000,11
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777351458753000000,1777351487741000000,1
jps.save.changed.project.entities.ms,1777351458753000000,1777351487741000000,1
workspaceModel.moduleBridge.update.option.ms,1777351458753000000,1777351487741000000,0
jps.global.get.library.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777351458753000000,1777351487741000000,2
jps.storage.jps.conf.reader.load.component.ms,1777351458753000000,1777351487741000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777351458753000000,1777351487741000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1777351458753000000,1777351487741000000,67
jps.app.storage.content.reader.load.component.ms,1777351458753000000,1777351487741000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777351458753000000,1777351487741000000,15
workspaceModel.mutableEntityStorage.modify.entity.ms,1777351458753000000,1777351487741000000,1
jps.artifact.entities.serializer.load.entities.ms,1777351458753000000,1777351487741000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1777351458753000000,1777351487741000000,0
workspaceModel.mutableEntityStorage.entities.ms,1777351458753000000,1777351487741000000,0
jps.artifact.entities.serializer.save.entities.ms,1777351458753000000,1777351487741000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1777351458753000000,1777351487741000000,0
jps.app.storage.content.writer.save.component.ms,1777351458753000000,1777351487741000000,4
