# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1777354168091000000,1777354221656000000,189
NonBlockingReadAction.finalizedExecutionsCount,1777354168091000000,1777354221656000000,290
NonBlockingReadAction.finalizedExecutionTimeUs,1777354168091000000,1777354221656000000,308984
AWTEventQueue.dispatchTimeTotalNS,1777354168091000000,1777354221656000000,10056704418
NonBlockingReadAction.failedExecutionsCount,1777354168091000000,1777354221656000000,1
compiler.ArtifactModifiableModelBridge.getArtifacts.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactModifiableModelBridge.addArtifact.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactModifiableModelBridge.dispose.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactModifiableModelBridge.findArtifacts.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactModifiableModelBridge.commit.ms,1777354168091000000,1777354221656000000,2
compiler.ArtifactManagerBridge.getArtifacts.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777354168091000000,1777354221656000000,1
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactModifiableModelBridge.getArtifactsByType.ms,1777354168091000000,1777354221656000000,0
compiler.ArtifactManagerBridge.commit.ms,1777354168091000000,1777354221656000000,2
compiler.ArtifactManagerBridge.findArtifact.ms,1777354168091000000,1777354221656000000,0
Indexes.allKeys.lookups,1777354168091000000,1777354221656000000,3
Indexing.cache.totalCacheEvicted,1777354168091000000,1777354221656000000,8590
Indexes.allKeys.lookupDuration90PMs,1777354168091000000,1777354221656000000,0.0
Indexing.writesQueuedMin,1777354168091000000,1777354221656000000,0
Indexing.writesQueuedAvg,1777354168091000000,1777354221656000000,0.0
Indexing.writesQueuedMax,1777354168091000000,1777354221656000000,0
Indexing.totalTimeIndexersSleptMs,1777354168091000000,1777354221656000000,0
Indexing.cache.totalCacheAccesses,1777354168091000000,1777354221656000000,39504
Indexes.stubs.lookupDurationMaxMs,1777354168091000000,1777354221656000000,194.0
Indexes.stubs.lookups,1777354168091000000,1777354221656000000,18410
Indexes.allKeys.lookupDurationAvgMs,1777354168091000000,1777354221656000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1777354168091000000,1777354221656000000,3
Indexes.entries.lookupDuration90PMs,1777354168091000000,1777354221656000000,0.0
Indexes.entries.lookupDurationAvgMs,1777354168091000000,1777354221656000000,0.034038414782397275
Indexes.allKeys.lookupDurationMaxMs,1777354168091000000,1777354221656000000,0.0
Indexes.stubs.lookupDuration90PMs,1777354168091000000,1777354221656000000,0.0
Indexes.entries.lookups,1777354168091000000,1777354221656000000,4078
Indexing.writer_2.totalTimeSpentWritingMs,1777354168091000000,1777354221656000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777354168091000000,1777354221656000000,4
Indexing.writer_3.totalTimeSpentWritingMs,1777354168091000000,1777354221656000000,0
Indexes.stubs.lookupDurationAvgMs,1777354168091000000,1777354221656000000,0.052529497333117826
Indexing.cache.totalCacheMisses,1777354168091000000,1777354221656000000,8590
Indexes.entries.lookupDurationMaxMs,1777354168091000000,1777354221656000000,8.0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777354168091000000,1777354221656000000,1
workspaceModel.do.save.caches.ms,1777354168091000000,1777354221656000000,84
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777354168091000000,1777354221656000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1777354168091000000,1777354221656000000,0
jps.global.initialize.library.bridges.ms,1777354168091000000,1777354221656000000,11
workspaceModel.sync.entities.ms,1777354168091000000,1777354221656000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1777354168091000000,1777354221656000000,2
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777354168091000000,1777354221656000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777354168091000000,1777354221656000000,17
jps.library.entities.serializer.save.entities.ms,1777354168091000000,1777354221656000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777354168091000000,1777354221656000000,0
workspaceModel.mutableEntityStorage.instances.count,1777354168091000000,1777354221656000000,139
jps.load.initial.state.ms,1777354168091000000,1777354221656000000,10
jps.modifiable.module.model.bridge.disposing.ms,1777354168091000000,1777354221656000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1777354168091000000,1777354221656000000,65
jps.storage.jps.conf.reader.load.component.ms,1777354168091000000,1777354221656000000,3
