# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1777351188249000000,1777351248252000000,149
VFS.invertedFileNameIndex.requests,1777351188249000000,1777351248252000000,4
VFS.contentStorage.recordsStoredCompressed,1777351188249000000,1777351248252000000,6
VFS.rootsCount,1777351188249000000,1777351248252000000,289.0
FileNameCache.totalMisses,1777351188249000000,1777351248252000000,25152
VFS.contentStorage.recordsStored,1777351188249000000,1777351248252000000,17
VFS.folderCaseSensitivityReads,1777351188249000000,1777351248252000000,144
VFS.cache.directoriesCreated,1777351188249000000,1777351248252000000,6279
VFS.contentStorage.recordsDeduplicated,1777351188249000000,1777351248252000000,3
VFS.contentStorage.recordsReadDecompressed,1777351188249000000,1777351248252000000,10
VFS.contentStorage.recordsReadSize,1777351188249000000,1777351248252000000,998042
VFS.contentStorage.recordsUncompressedSize,1777351188249000000,1777351248252000000,523564
VFS.contentStorage.recordsStoredSize,1777351188249000000,1777351248252000000,240428
VFS.contentStorage.recordsDecompressionTimeUs,1777351188249000000,1777351248252000000,14440
VFS.cache.filesCreated,1777351188249000000,1777351248252000000,64794
VFS.fileChildByName,1777351188249000000,1777351248252000000,34752
VFS.fileByIdCache.hits,1777351188249000000,1777351248252000000,9
VFS.cache.segmentsCreated,1777351188249000000,1777351248252000000,189
VFS.cache.segments,1777351188249000000,1777351248252000000,186.0
FileNameCache.queries,1777351188249000000,1777351248252000000,3265152
VFS.contentStorage.recordsRead,1777351188249000000,1777351248252000000,31
compiler.ArtifactModifiableModelBridge.addArtifact.ms,1777351188249000000,1777351248252000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777351188249000000,1777351248252000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777351188249000000,1777351248252000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777351188249000000,1777351248252000000,0
compiler.ArtifactModifiableModelBridge.getArtifacts.ms,1777351188249000000,1777351248252000000,0
