# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalCpuTimeMs,1777351815204000000,1777351875276000000,58820
OS.loadAverage,1777351815204000000,1777351875276000000,1.64501953125
JVM.usedHeapBytes,1777351815204000000,1777351875276000000,485437216
MEM.ramPlusSwapMinusFileMappingsBytes,1777351815204000000,1777351875276000000,1564225536
JVM.usedNativeBytes,1777351815204000000,1777351875276000000,536187968
JVM.totalDirectByteBuffersBytes,1777351815204000000,1777351875276000000,59316225
MEM.ramMinusFileMappingsBytes,1777351815204000000,1777351875276000000,1564225536
JVM.totalTimeAtSafepointsMs,1777351815204000000,1777351875276000000,427
JVM.maxThreadCount,1777351815204000000,1777351875276000000,163
JVM.threadCount,1777351815204000000,1777351875276000000,162
JVM.maxHeapBytes,1777351815204000000,1777351875276000000,2147483648
MEM.fileMappingsRamBytes,1777351815204000000,1777351875276000000,821035008
JVM.GC.collections,1777351815204000000,1777351875276000000,76
JVM.totalSafepointCount,1777351815204000000,1777351875276000000,143
JVM.totalBytesAllocated,1777351815204000000,1777351875276000000,5109157504
JVM.newThreadsCount,1777351815204000000,1777351875276000000,202
JVM.totalTimeToSafepointsMs,1777351815204000000,1777351875276000000,17
MEM.ramBytes,1777351815204000000,1777351875276000000,2385330176
JVM.GC.collectionTimesMs,1777351815204000000,1777351875276000000,422
JVM.committedHeapBytes,1777351815204000000,1777351875276000000,706740224
FlushQueue.executionTimeMaxNs,1777351815204000000,1777351875276000000,0
ReadAction.executionsCount,1777351815204000000,1777351875276000000,115217
NonBlockingReadAction.finalizedExecutionsCount,1777351815204000000,1777351875276000000,58
AWTEventQueue.dispatchTimeTotalNS,1777351815204000000,1777351875276000000,6574299240
AWTEventQueue.eventsDispatched,1777351815204000000,1777351875276000000,0
FlushQueue.tasksExecuted,1777351815204000000,1777351875276000000,0
FlushQueue.queueSizeMax,1777351815204000000,1777351875276000000,0
WriteAction.executionsCount,1777351815204000000,1777351875276000000,66
FlushQueue.executionTimeAvgNs,1777351815204000000,1777351875276000000,0.0
NonBlockingReadAction.failedExecutionsCount,1777351815204000000,1777351875276000000,1
FlushQueue.executionTime90PNs,1777351815204000000,1777351875276000000,0
